model,rho_mean,rho_std,rho_n,theta_mean,theta_std,theta_n,eta_mean,eta_std,eta_n,gamma_mean,gamma_std,gamma_n,beta_pd_mean,beta_cd_mean,beta_ct_mean,beta_cross_env_mean,beta_cross_env_var,n_games_pd,n_games_cd,n_games_ct
Claude Opus,0.4118,0.4054,44,4.604,0.8079,400,0.7565,0.2554,1127,0.0108,0.5155,288,0.1599,0.6118,0.2941,0.3553,0.0539,200,400,1705
Claude Sonnet,0.0909,0.2928,26,4.1704,0.6303,160,0.7333,0.2847,261,-0.0503,0.476,207,0.2178,0.598,0.3008,0.3722,0.04,80,160,677
GPT-4o,0.4498,0.4452,53,4.1744,0.9975,400,0.7783,0.2573,956,-0.0194,0.488,299,0.1987,0.4154,0.2999,0.3047,0.0118,200,400,1732
GPT-4o-mini,0.153,0.3557,32,3.9353,1.9895,160,0.998,0.0171,204,0.0145,0.3705,189,0.2346,0.4919,0.3108,0.3458,0.0175,80,160,589
Gemini 2.5 Flash,0.0092,0.0887,165,5.2303,1.2599,400,0.7809,0.252,766,0.0036,0.7113,398,0.2443,0.5721,0.2832,0.3665,0.0321,200,400,1729
Gemini 2.5 Flash Lite,0.3389,0.4764,32,4.6457,1.1027,160,0.9954,0.038,196,0.6069,0.4639,192,0.4953,0.4603,0.3581,0.4379,0.0051,80,160,589
Human Prior (Abatayo & Lynham 2022),,,0,5.1293,0.5038,240,,,0,,,0,,0.4558,,0.4558,,0,240,0
Human Prior (Dvorak & Fehrler 2024),0.4046,0.3154,102,,,0,,,0,,,0,0.4595,,,0.4595,,120,0,0
Human Prior (Gneezy 2005),,,0,,,0,0.7973,0.287,122,-0.15,0.3431,60,,,0.3047,0.3047,,0,0,243
